,0,1,2,3,4,5,6,7
0,102,WAK-N zu Steuervorlagen,Medienzentrum 3003 Bern,Di 29.08.2006 17:30,Medienkonferenz der WAK-N zu den Steuervorlagen.,Kein Kontakt,WAK N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-102.html
1,105,Finanzpolitischer Apéro,Bernerhof Bern,Do 14.09.2006 12:15 - 14:00,"Die Eidg. Finanzverwaltung lädt Sie zum ersten „Finanzpolitischen Apéro“ ein. Die Veranstaltung soll den interessierten Medienschaffenden Gelegenheit bieten, sich aus erster Hand und in ungezwungener Atmosphäre über aktuelle Themen der Fi-nanzpolitik zu informieren. Am Anlass werden Peter Siegenthaler, Direktor der Eidg. Finanzverwaltung, und die Vizedirektoren Fritz Zurbrügg, Beat Blaser, und Karl Schwaar je ein Kurzreferat hal-ten. Neben der neu gestalteten und frisch gedruckten Finanzberichterstattung zum Voranschlag 2007 und dem Finanzplan 2008 – 2010 wird ein Ausblick auf die weite-ren Schritte im Neuen Rechnungsmodell des Bundes sowie eine aktuelle finanzpoliti-sche Standortbestimmung Thema sein. Anschliessend bietet sich bei einem; Apéro Gelegenheit für Fragen und Diskussionen.",Kein Kontakt,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-105.html
2,112,Löhne 2007,Hotel Bern Bern,So 10.09.2006 08:00,PK,Kein Kontakt,Gewerkschaftsbund,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-112.html
3,135,"Medienkonferenz KKJPD/VBS, mit Bundesrat Samuel Schmid",Bern Bern,Fr 03.11.2006 13:30,"Bundesrat Schmid nimmt ab 13.30 Uhr an der Medienkonferenz KKJPD/VBS zum ""Bericht über Bearbeitung der Aufträge vom Juni 05"" im Konferenzsaal teil.",Kein Kontakt,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-135.html
4,150,Bundesratssitzung,Medienzentrum Bundeshaus Bern,Mi 29.11.2006,Medienkonferenz des Bundesrats nach der wöchentlichen Sitzung,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-150.html
5,157,Test Veranstaltung,Jahnstrasse 7844 Bern,Mi 20.12.2006 10:00 - 13:00,Test Veranstaltung Beschreibung,Kontakt bitte an,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-157.html
6,178,Jugendarbeitnehmerschutz,Hotel Bern 3011 Bern,Do 01.02.2007 09:30 - 10:30,Medienkonferenz,Kein Kontakt,"P. Cavadini, Pressesprecher SGB, Tel. 031 377 01 07",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-178.html
7,188,Globalisierung und die Rolle der öffentlichen Entwicklungszusammenarbeit,Medienzentrum 3003 Bern,Do 29.03.2007 11:00 - 12:00,"Medienkonferenz mit Richard Manning, Direktor OECD/DAC",Kein Kontakt,"Suzan Gürler, DEZA, 031 322 31 09",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-188.html
8,189,Das neue SVP-Kulturpapier,Medienzentrum 3003 Bern,Do 01.02.2007 15:45,Medienkonferenz,Kein Kontakt,"Roman S. Jäggi, Pressesprecher, SVP",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-189.html
9,190,Kampagne Fliessgewässer,Hotel Bern 3011 Bern,Mo 05.03.2007 10:15,Medienkonferenz,Kein Kontakt,"Nicole El-Aghar, Pro Natura, 061 317 92 45",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-190.html
10,193,Ja zur Einheitskrankenkasse,Medienzentrum 3003 Bern,Mo 05.02.2007 10:30,Medienkonferenz,Kein Kontakt,"Jean-Yves Gentil, porte-parole PSS, 031 329 69 86",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-193.html
11,194,Jahresmedienkonferenz,Rest. Schmiedstube 3011 Bern,Di 06.02.2007 10:30,"E. Minder, SGV",Kein Kontakt,Schweiz. Gewerbeverband SGV,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-194.html
12,195,Präsentation KMU-Handbuch,Bernerhof 3003 Bern,Mo 12.02.2007 10:00,Medienkonferenz mit Bundesrätin Leuthard,Kein Kontakt,"Kommunikation EVD, 031 322 20 07",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-195.html
13,198,Der Schweizer Zoll im Jahr 2006 - für mehr Sicherheit,Medienzentrum 3003 Bern,Di 13.02.2007 10:00,Jahresmedienkonferenz,"Walter Pavel, Leiter Information Oberzolldirektion, Tel. 031 322 65 13; Michaela Rickenbacher, Kommando GWK, Oberzolldirektion, Tel. 031 325 61 07",Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-198.html
14,199,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 14.02.2007,Medienkonferenz des Bundesrates,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-199.html
15,205,Stand der Dinge EURO 08,Medienzentrum 3003 Bern,Do 15.02.2007 10:00,Medienkonferenz mit Bundesrat Schmid,Kein Kontakt,"Kommunikation VBS, 031 324 85 12",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-205.html
16,218,Jahresmedienkonferenz,Medienzentrum 3003 Bern,Fr 16.02.2007 09:30,"Patrick Ducrey, WEKO, 031 324 96 78",Kein Kontakt,Wettbewerbskommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-218.html
17,219,Von-Wattenwyl-Gespräche,Medienzentrum 3003 Bern,Fr 16.02.2007 13:30,Medienkonferenz mit CVP-Parteipräsident Christophe Darbellay und Bundesratssprecher Oswald Sigg,"Hansruedi Moser, Infochef BK, 031 322 37 63",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-219.html
18,220,Bilanzmedienkonferenz,Hotel Kreuz 3011 Bern,Di 20.02.2007 10:15,"Colette Schneider, 041 870 97 81",Kein Kontakt,Alpen-Initiative,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-220.html
19,221,Agrarpolitik 2011,Medienzentrum Bern,Di 20.02.2007 14:00,Medienkonferenz,Kein Kontakt,WAK/CER-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-221.html
